il,ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,ilce,mahalle,lat,lon,harita,osm_id
Adana,Güney Yıldızı Kordon,cafe,pizza;coffee_shop;regional;burger;kebab;fish;pasta;cake;dessert,,https://yumurtalikguneyyildizi.com,https://www.instagram.com/guneyyildiziyumurtalik/,Mo-Su 11:00-19:00,yes,,Atatürk Yumurtalık Bulvarı 28,Yumurtalık,Devrişiye,36.7720666,35.7928954,"https://www.google.com/maps/search/?api=1&query=36.7720666,35.7928954",node/13068227666
Adana,Hadirli Restaurant,cafe,,,,,,,,,,,37.0457922,35.3158106,"https://www.google.com/maps/search/?api=1&query=37.0457922,35.3158106",node/6768625688
Adana,Halis Ev Yemekleri,restaurant,,,,,,,,,,,36.9950610,35.3235315,"https://www.google.com/maps/search/?api=1&query=36.9950610,35.3235315",node/4567423345
Adana,Halis Ev Yemekleri,restaurant,,,,,,,,,,,36.9948251,35.3221979,"https://www.google.com/maps/search/?api=1&query=36.9948251,35.3221979",node/13793248962
Adana,Hanımeli Sofrası,restaurant,,,,,,,,,,,36.9941410,35.3212819,"https://www.google.com/maps/search/?api=1&query=36.9941410,35.3212819",node/3727307402
Adana,Hasan Masat,cafe,,,,,,,,,,,36.5683054,35.3836313,"https://www.google.com/maps/search/?api=1&query=36.5683054,35.3836313",node/10816389312
Adana,Hasan Usta Kebap,restaurant,turkish,+90 322 247 00 00,,,Mo-Sa 08:00-3:00,,,,,,37.0491940,35.2807100,"https://www.google.com/maps/search/?api=1&query=37.0491940,35.2807100",way/794173079
Adana,Hugo'ss Cafe Restaurant,restaurant,burger;grill;friture;breakfast;fish_and_chips;fish;pasta;tea;coffee_shop;turkish;curry;pancake;chicken;sausage;steak_house;sandwich;seafood;mediterranean;hot_dog;kebab;ice_cream,+90 541 675 72 76,https://www.huggoss.com,,24/7,,,,,,37.0695877,35.2715093,"https://www.google.com/maps/search/?api=1&query=37.0695877,35.2715093",node/4261350492
Adana,İklim Döner,fast_food,,,,,,,,,,,37.0347057,35.2606766,"https://www.google.com/maps/search/?api=1&query=37.0347057,35.2606766",node/6813458550
Adana,İMPARATOR KOKOREÇ,restaurant,turkish;kokoreç,,,,,,,,,,37.0014374,35.3262117,"https://www.google.com/maps/search/?api=1&query=37.0014374,35.3262117",node/11161749594
