mekan,il,tur,website,kaynak,kategori,kalem,fiyat
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE Bademli blue matcha latte (L),295.00
Kronotrop,,cafe,https://kronotrop.com.tr,html,,Grounded Collection Oversized White T-Shirt,439.00
Kronotrop,,cafe,https://kronotrop.com.tr,html,,Grounded Collection Oversized Green Hoodie,870.00
Kronotrop,,cafe,https://kronotrop.com.tr,html,,Etiyopya Korcha Natural (Filtre),1150.00
Kronotrop,,cafe,https://kronotrop.com.tr,html,,Kronotrop Latte Fincanı,1050.00
Kronotrop,,cafe,https://kronotrop.com.tr,html,,Hario V60 Dripper Seti,900.00
Kronotrop,,cafe,https://kronotrop.com.tr,html,,Cezve,4900.00
Kronotrop,,cafe,https://kronotrop.com.tr,html,,Aeropress Demleme Ekipmanı,2600.00
Veganarsist Kızılay,,cafe,https://veganarsist.com,woo,"İçecekler, Paket Ürünleri",Kajran ( Kajudan Vegan Ayran ) ( Kuru Naneli ) ( 50 cl ) ( Cam Şişe ),284.00
Veganarsist Kızılay,,cafe,https://veganarsist.com,woo,,Kuru Buz,150.00
Veganarsist Kızılay,,cafe,https://veganarsist.com,woo,,Strafor Kutu,150.00
Veganarsist Kızılay,,cafe,https://veganarsist.com,woo,"Anne Yemekleri, Paket Ürünleri",Dionysos Vegan Patlıcan Musakka ( 345 Gr. ) ( Glutensiz ),273.00
Veganarsist Kızılay,,cafe,https://veganarsist.com,woo,"Anne Yemekleri, Paket Ürünleri",Helios Vegan Karnıyarık ( 2 Adet ) ( Glutensiz ),324.00
Veganarsist Kızılay,,cafe,https://veganarsist.com,woo,"Özel Lezzetler, Paket Ürünleri",Cosmos Vegan Balcan ( Patlıcan ) Kebabı ( Porsiyon ) ( Glutensiz ),213.00
Veganarsist Kızılay,,cafe,https://veganarsist.com,woo,"Paket Ürünleri, Soslar ve Harçlar",Soya Soslu Vegan Balık Sosu ( 345 Ml. ) ( Glutensiz ),187.50
