mekan_id,il,mekan_ad,adres,yazar,lisans,kaynak_bag
way/443114316,58,Sivas Arkeoloji Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Sivas_Museum_01.jpg/1280px-Sivas_Museum_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Ingeborg Simon,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Sivas_Museum_01.jpg
relation/19145891,58,Kongre Müzesi,https://upload.wikimedia.org/wikipedia/commons/c/c1/004_KongreM%C3%BCzesi.07.2006_resize.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Avniyazici,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:004_KongreM%C3%BCzesi.07.2006_resize.JPG
way/614302702,59,Rakoczi Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Rodost%C3%B3%2C_R%C3%A1k%C3%B3czi_M%C3%BAzeum_2024_03.jpg/1280px-Rodost%C3%B3%2C_R%C3%A1k%C3%B3czi_M%C3%BAzeum_2024_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Pasztilla aka Attila Terbócs,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Rodost%C3%B3,_R%C3%A1k%C3%B3czi_M%C3%BAzeum_2024_03.jpg"
way/614306141,59,Tekirdağ Arkeoloji ve Etnografya Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Tekirda%C4%9F_Museum_of_Archaeology_and_Ethnography_%2802%29.JPG/1280px-Tekirda%C4%9F_Museum_of_Archaeology_and_Ethnography_%2802%29.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CeeGee,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Tekirda%C4%9F_Museum_of_Archaeology_and_Ethnography_(02).JPG
way/278850858,61,Atatürk Köşkü,https://upload.wikimedia.org/wikipedia/commons/2/29/Atatiurko_namas.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Aleksasfi,Public domain,https://commons.wikimedia.org/wiki/File:Atatiurko_namas.jpg
way/391978296,61,Alacahan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Trabzon%2C_corte_mercantile_dell%27alaca_han%2C_cortile_05%2C0.jpg/1280px-Trabzon%2C_corte_mercantile_dell%27alaca_han%2C_cortile_05%2C0.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Francesco Bini,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Trabzon,_corte_mercantile_dell%27alaca_han,_cortile_05,0.jpg"
way/391984327,61,Trabzon Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Trabzon_museum.jpg/1280px-Trabzon_museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Radosław Botev,Attribution,https://commons.wikimedia.org/wiki/File:Trabzon_museum.jpg
way/391989869,61,Çok Amaçı Salon (St. John Kilisesi),https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Kaledibi_Kilisesi_1.jpg/1280px-Kaledibi_Kilisesi_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Ali Osman Dilekoğlu,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Kaledibi_Kilisesi_1.jpg
relation/6680755,62,Tunceli Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Dersim_M%C3%BCzesi%2C_Tunceli.jpg/1280px-Dersim_M%C3%BCzesi%2C_Tunceli.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Bodrumlu60,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Dersim_M%C3%BCzesi,_Tunceli.jpg"
way/193118073,63,Haleplibahçe Mozaik Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Haleplibah%C3%A7e_Mozaik_M%C3%BCzesi.jpg/1280px-Haleplibah%C3%A7e_Mozaik_M%C3%BCzesi.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Cobija,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Haleplibah%C3%A7e_Mozaik_M%C3%BCzesi.jpg
